🐜~ant.png|45,52,58|45,52,58|0.35|0.35
💪~muscle.png|255,220,93|254,216,92|0.48|0.53
🍗~poultry_leg.png|193,105,79|202,121,86|0.31|0.36
🐤~baby_chick.png|255,204,77|253,197,72|0.32|0.39
👑~crown.png|255,205,76|240,180,72|0.34|0.6
🏩~love_hotel.png|255,212,222|196,158,185|0.22|0.9
👄~lips.png|231,90,112|202,94,105|0.24|0.41
🌗~last_quarter_moon.png|255,218,132|177,166,126|0.3|0.74
🆓~free.png|59,136,195|100,161,207|0.7|0.98
💑~couple_with_heart.png|255,221,93|214,148,97|0.19|0.74
🐼~panda_face.png|238,238,238|186,186,187|0.35|0.77
🔗~link.png|136,153,166|136,153,166|0.29|0.29
♒~aquarius.png|146,102,204|172,139,216|0.68|0.98
😲~astonished.png|255,204,77|228,182,67|0.55|0.74
🔽~arrow_down_small.png|59,136,195|96,159,206|0.77|0.98
🌜~last_quarter_moon_with_face.png|255,218,132|235,200,117|0.21|0.3
🏫~school.png|255,232,182|192,191,164|0.23|0.83
🔷~large_blue_diamond.png|85,172,238|85,172,238|0.47|0.47
🔟~keycap_ten.png|59,136,195|116,170,212|0.63|0.98
👌~ok_hand.png|255,221,93|254,215,91|0.3|0.34
🚥~traffic_light.png|45,52,58|83,74,62|0.32|0.46
🚹~mens.png|34,102,153|71,128,170|0.78|0.98
🔩~nut_and_bolt.png|136,153,166|162,175,184|0.08|0.29
👋~wave.png|255,221,93|236,210,107|0.42|0.55
🕠~clock530.png|225,232,237|193,204,211|0.4|0.76
😪~sleepy.png|255,204,77|228,188,81|0.6|0.79
🆔~id.png|146,102,204|176,144,218|0.65|0.98
👽~alien.png|204,214,221|164,173,179|0.47|0.68
😇~innocent.png|255,205,76|217,187,93|0.52|0.79
💚~green_heart.png|120,177,89|120,177,89|0.62|0.62
🔏~lock_with_ink_pen.png|255,172,51|171,142,94|0.21|0.56
📦~package.png|217,158,130|183,129,112|0.17|0.53
☕~coffee.png|204,214,221|193,176,172|0.2|0.77
🎓~mortar_board.png|54,63,68|74,74,67|0.32|0.5
👟~athletic_shoe.png|191,18,45|197,88,108|0.16|0.41
🚿~shower.png|85,172,238|111,152,182|0.1|0.29
🚇~metro.png|41,47,51|92,81,91|0.39|0.76
🎂~birthday.png|234,89,110|226,137,143|0.18|0.67
🐣~hatching_chick.png|255,204,77|241,207,125|0.34|0.6
🔱~trident.png|255,204,77|255,204,77|0.38|0.38
🎮~video_game.png|12,16,19|40,45,48|0.26|0.51
🎁~gift.png|253,216,136|241,157,111|0.41|0.72
🐵~monkey_face.png|216,159,133|189,124,102|0.27|0.62
